Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,FBI Code,Location,Time,Seconds,Hour,NEW LOCATION,Latitude,Longitude,simple location
HY414338,9/7/2015 0:01,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,6,"(41.92066892, -87.706044819)",12:01:00,0,12, Logan Square,41.92066892,-87.70604482,West Side
HY414342,9/7/2015 7:00,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,6,"(41.799808989, -87.723350952)",7:00:00,0,7, West Elsdon,41.79980899,-87.72335095,Lower Town
HY414349,9/7/2015 17:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.80083518, -87.650184349)",5:00:00,0,5, New City,41.80083518,-87.65018435,Middle City
HY414327,9/7/2015 18:00,THEFT,PURSE-SNATCHING,STREET,FALSE,FALSE,6,"(41.889709314, -87.613988251)",6:00:00,0,6, Near North Side,41.88970931,-87.61398825,Upper Town
HY414321,9/7/2015 17:55,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.856200609, -87.627908835)",5:55:00,0,5, Near South Side,41.85620061,-87.62790884,Upper Town
HY414229,9/7/2015 15:46,ASSAULT,SIMPLE,STREET,TRUE,TRUE,08A,"(41.802592348, -87.673326962)",3:46:00,0,3, New City,41.80259235,-87.67332696,Middle City
HY414320,9/7/2015 11:00,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,6,"(41.88772996, -87.632505286)",11:00:00,0,11, Near North Side,41.88772996,-87.63250529,Upper Town
HY414251,9/7/2015 17:20,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,6,"(41.851849131, -87.699615309)",5:20:00,0,5, South Lawndale,41.85184913,-87.69961531,Lower Town
HY413773,9/4/2015 15:30,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,6,"(41.939104176, -87.647883558)",3:30:00,0,3, Lake View,41.93910418,-87.64788356,Upper Town
HY414302,9/6/2015 20:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.800550046, -87.591811133)",8:00:00,0,8, Hyde Park,41.80055005,-87.59181113,Lower Town
HY193651,3/21/2015 19:45,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,CTA TRAIN,TRUE,FALSE,24,"(41.875323928, -87.631719215)",7:45:00,0,7, Loop,41.87532393,-87.63171922,Upper Town
HY414279,9/7/2015 15:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,14,"(41.96721703, -87.696204433)",3:00:00,0,3, Lincoln Square,41.96721703,-87.69620443,Upper Town
HY414377,9/7/2015 12:00,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,6,"(42.010369522, -87.664372482)",12:00:00,0,12, Rogers Park,42.01036952,-87.66437248,Upper Town
HY414371,9/7/2015 19:00,OTHER OFFENSE,TELEPHONE THREAT,OTHER,FALSE,FALSE,26,"(41.882008698, -87.694701426)",7:00:00,0,7, East Garfield Park,41.8820087,-87.69470143,West Side
HY414326,9/7/2015 16:00,THEFT,OVER $500,SMALL RETAIL STORE,FALSE,FALSE,6,"(41.949640324, -87.713238008)",4:00:00,0,4, Irving Park,41.94964032,-87.71323801,Upper Town
HY414307,9/7/2015 14:00,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,TRUE,FALSE,14,"(41.751815845, -87.560005138)",2:00:00,0,2, South Chicago,41.75181585,-87.56000514,East Side
HY414212,9/7/2015 16:20,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.880152385, -87.697451949)",4:20:00,0,4, East Garfield Park,41.88015239,-87.69745195,West Side
HY414225,9/7/2015 16:45,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,TRUE,FALSE,26,"(41.892603612, -87.722329283)",4:45:00,0,4, Humboldt Park,41.89260361,-87.72232928,West Side
HY414297,9/7/2015 17:40,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.92939592, -87.770167564)",5:40:00,0,5, Beat 2514,41.92939592,-87.77016756,Upper Town
HY414317,7/5/2015 7:30,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,6,"(41.75828833, -87.566359735)",7:30:00,0,7, South Shore,41.75828833,-87.56635974,Lower Town
HY413781,9/6/2015 18:00,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,6,"(41.795187246, -87.714050643)",6:00:00,0,6, West Elsdon,41.79518725,-87.71405064,Lower Town
HY414305,9/7/2015 17:30,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,6,"(41.929743818, -87.684273777)",5:30:00,0,5, Logan Square,41.92974382,-87.68427378,West Side
HY414086,9/7/2015 14:30,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.872714939, -87.711386229)",2:30:00,0,2, East Garfield Park,41.87271494,-87.71138623,West Side
HY414255,9/6/2015 19:30,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,FALSE,FALSE,14,"(41.943044071, -87.774892061)",7:30:00,0,7, Portage Park,41.94304407,-87.77489206,Upper Town
HY414162,9/3/2015 4:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.769373492, -87.573940462)",4:00:00,0,4, O'Keeffe,41.76937349,-87.57394046,Upper Town
HY414354,9/7/2015 18:20,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,18,"(41.779069904, -87.696460729)",6:20:00,0,6, Chicago Lawn,41.7790699,-87.69646073,Middle City
HY414281,9/7/2015 17:21,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,08B,"(41.895505083, -87.71174182)",5:21:00,0,5, Humboldt Park,41.89550508,-87.71174182,West Side
HY414294,9/7/2015 5:45,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.943155532, -87.765168823)",5:45:00,0,5, Portage Park,41.94315553,-87.76516882,Upper Town
HY414363,9/7/2015 18:47,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,TRUE,FALSE,18,"(41.865192955, -87.65981215)",6:47:00,0,6, Near West Side,41.86519296,-87.65981215,Upper Town
HY414261,9/7/2015 1:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.839427712, -87.645098755)",1:00:00,0,1, Bridgeport,41.83942771,-87.64509876,Middle City
HY414256,9/7/2015 15:41,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,TRUE,26,"(41.771519919, -87.648211644)",3:41:00,0,3, Englewood,41.77151992,-87.64821164,Lower Town
HY414228,9/7/2015 16:40,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,6,"(41.765755571, -87.576292427)",4:40:00,0,4, Jeffrey - Cyril Historic District,41.76575557,-87.57629243,Upper Town
JC471732,10/13/2019 22:14,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,FALSE,FALSE,14,"(41.710050769, -87.532441069)",10:14:00,0,10, East Side,41.71005077,-87.53244107,East Side
HY414082,9/7/2015 14:00,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,3,"(41.749780682, -87.667066613)",2:00:00,0,2, Auburn Gresham,41.74978068,-87.66706661,Lower Town
HY414404,9/6/2015 12:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,14,"(41.75431533, -87.61136808)",12:00:00,0,12, Greater Grand Crossing,41.75431533,-87.61136808,Middle City
HY414278,9/7/2015 16:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,14,"(41.784895894, -87.618974395)",4:00:00,0,4, Washington Park,41.78489589,-87.6189744,Middle City
HY414329,9/7/2015 18:20,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,04A,"(41.759658977, -87.621563446)",6:20:00,0,6, Greater Grand Crossing,41.75965898,-87.62156345,Middle City
HY414253,9/7/2015 17:29,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.951404121, -87.802320669)",5:29:00,0,5, Dunning,41.95140412,-87.80232067,Upper Town
HY414392,9/7/2015 13:30,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,6,"(41.760313512, -87.68679402)",1:30:00,0,1, Chicago Lawn,41.76031351,-87.68679402,Middle City
HY414337,9/7/2015 18:15,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,3,"(41.909650876, -87.74386414)",6:15:00,0,6, Austin,41.90965088,-87.74386414,West Side
HY414401,9/5/2015 0:01,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.740570575, -87.708046203)",12:01:00,0,12, Ashburn,41.74057058,-87.7080462,Lower Town
HY414283,9/6/2015 17:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.754619327, -87.582162574)",5:00:00,0,5, South Shore,41.75461933,-87.58216257,Lower Town
HY414355,9/7/2015 18:20,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,08B,"(41.80036463, -87.703753695)",6:20:00,0,6, Gage Park,41.80036463,-87.7037537,Lower Town
HY414299,9/6/2015 21:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.939261171, -87.784282869)",9:00:00,0,9, Dunning,41.93926117,-87.78428287,Upper Town
HY414372,9/7/2015 7:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,26,"(41.772690515, -87.69566967)",7:00:00,0,7, Chicago Lawn,41.77269052,-87.69566967,Middle City
HY414197,9/7/2015 15:30,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,18,"(41.793840902, -87.651721824)",3:30:00,0,3, Englewood,41.7938409,-87.65172182,Lower Town
HY414407,9/6/2015 15:00,THEFT,$500 AND UNDER,CTA GARAGE / OTHER PROPERTY,FALSE,FALSE,6,"(41.788987036, -87.74147999)",3:00:00,0,3, Clearing,41.78898704,-87.74147999,Lower Town
HY414359,9/7/2015 18:27,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,6,"(41.756640447, -87.663590843)",6:27:00,0,6, Auburn Gresham,41.75664045,-87.66359084,Lower Town
HY414387,9/7/2015 16:00,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,08B,"(41.934992556, -87.691916512)",4:00:00,0,4, Avondale,41.93499256,-87.69191651,Upper Town
HY414273,9/7/2015 17:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,11,"(41.961336068, -87.64989918)",5:00:00,0,5, Uptown,41.96133607,-87.64989918,Upper Town
HY414339,9/7/2015 17:31,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,PARK PROPERTY,TRUE,FALSE,15,"(41.953202038, -87.765153132)",5:31:00,0,5, Portage Park,41.95320204,-87.76515313,Upper Town
HY414343,9/7/2015 18:27,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,6,"(41.884650262, -87.627915459)",6:27:00,0,6, Loop,41.88465026,-87.62791546,Upper Town
HY414415,9/7/2015 12:00,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,6,"(41.884335468, -87.619164088)",12:00:00,0,12, Loop,41.88433547,-87.61916409,Upper Town
HY414379,9/7/2015 19:05,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,TRUE,FALSE,18,"(41.694474162, -87.668446901)",7:05:00,0,7, Morgan Park,41.69447416,-87.6684469,Middle City
HY414276,9/7/2015 17:33,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,04B,"(41.896685066, -87.627683859)",5:33:00,0,5, Near North Side,41.89668507,-87.62768386,Upper Town
HY414254,9/7/2015 17:10,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.920197968, -87.733985841)",5:10:00,0,5, Beat 2522,41.92019797,-87.73398584,Upper Town
HY414400,9/7/2015 18:30,THEFT,$500 AND UNDER,SIDEWALK,FALSE,TRUE,6,"(41.931893707, -87.774772504)",6:30:00,0,6, Belmont Cragin,41.93189371,-87.7747725,West Side
HY414429,9/7/2015 19:40,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,14,"(41.764638085, -87.638303716)",7:40:00,0,7, Englewood,41.76463809,-87.63830372,Lower Town
HY414419,9/7/2015 19:25,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,08A,"(41.771519919, -87.648211644)",7:25:00,0,7, Englewood,41.77151992,-87.64821164,Lower Town
HY414292,9/7/2015 17:45,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,6,"(41.874212983, -87.664924003)",5:45:00,0,5, Near West Side,41.87421298,-87.664924,Upper Town
HY414227,9/7/2015 16:10,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,15,"(41.920028708, -87.786968399)",4:10:00,0,4, Belmont Cragin,41.92002871,-87.7869684,West Side
HY414416,9/4/2015 14:45,THEFT,FROM BUILDING,APARTMENT,FALSE,TRUE,6,"(41.931503891, -87.794264676)",2:45:00,0,2, Beat 2511,41.93150389,-87.79426468,Upper Town
HY414388,9/7/2015 18:00,BATTERY,SIMPLE,HOTEL/MOTEL,FALSE,FALSE,08B,"(41.808614751, -87.664091468)",6:00:00,0,6, New City,41.80861475,-87.66409147,Middle City
HY414370,9/7/2015 18:50,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,6,"(41.742710224, -87.634088181)",6:50:00,0,6, Auburn Gresham,41.74271022,-87.63408818,Lower Town
HY414173,9/7/2015 15:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,6,"(41.897895128, -87.624096605)",3:00:00,0,3, Near North Side,41.89789513,-87.62409661,Upper Town
HY414386,9/7/2015 18:54,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,18,"(41.872336473, -87.718053942)",6:54:00,0,6, East Garfield Park,41.87233647,-87.71805394,West Side
HY414449,9/7/2015 6:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,STREET,FALSE,FALSE,20,"(41.770251578, -87.625053521)",6:00:00,0,6, Greater Grand Crossing,41.77025158,-87.62505352,Middle City
HY414322,9/7/2015 16:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,2,"(41.765612223, -87.68816306)",4:00:00,0,4, Chicago Lawn,41.76561222,-87.68816306,Middle City
HY414325,9/7/2015 11:49,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,26,"(41.841823531, -87.726915577)",11:49:00,0,11, South Lawndale,41.84182353,-87.72691558,Lower Town
HY414313,9/7/2015 17:43,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS,FALSE,FALSE,14,"(41.932404221, -87.68790352)",5:43:00,0,5, Logan Square,41.93240422,-87.68790352,West Side
HY414330,9/7/2015 18:10,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,6,"(41.953443342, -87.744957048)",6:10:00,0,6, Six Corners,41.95344334,-87.74495705,Upper Town
HY414348,9/7/2015 18:30,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),TRUE,TRUE,14,"(41.852477533, -87.716240201)",6:30:00,0,6, North Lawndale,41.85247753,-87.7162402,West Side
HY414441,9/7/2015 18:00,THEFT,$500 AND UNDER,SMALL RETAIL STORE,FALSE,FALSE,6,"(41.923674171, -87.786051721)",6:00:00,0,6, Belmont Cragin,41.92367417,-87.78605172,West Side
HY414412,9/7/2015 17:53,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,SIDEWALK,TRUE,FALSE,24,"(41.776762536, -87.684792074)",5:53:00,0,5, Chicago Lawn,41.77676254,-87.68479207,Middle City
HY412091,9/5/2015 21:30,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,08B,"(41.790045959, -87.646261611)",9:30:00,0,9, Englewood,41.79004596,-87.64626161,Lower Town
HY414378,9/7/2015 18:45,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(42.014539734, -87.692586086)",6:45:00,0,6, West Ridge,42.01453973,-87.69258609,Upper Town
HY414347,9/7/2015 5:00,ROBBERY,ATTEMPT: ARMED-HANDGUN,ALLEY,FALSE,FALSE,3,"(42.008754635, -87.686650268)",5:00:00,0,5, West Ridge,42.00875464,-87.68665027,Upper Town
HY414443,9/7/2015 19:30,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,6,"(41.938158183, -87.649852686)",7:30:00,0,7, Lake View,41.93815818,-87.64985269,Upper Town
HY414353,9/6/2015 23:30,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,11,"(41.769373492, -87.573940462)",11:30:00,0,11, O'Keeffe,41.76937349,-87.57394046,Upper Town
HY412528,9/6/2015 9:00,THEFT,FROM BUILDING,SIDEWALK,FALSE,FALSE,6,"(41.702154047, -87.563980453)",9:00:00,0,9, South Deering,41.70215405,-87.56398045,East Side
HY414434,9/7/2015 19:40,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,04A,"(41.834212796, -87.716955092)",7:40:00,0,7, South Lawndale,41.8342128,-87.71695509,Lower Town
HY414426,9/5/2015 0:00,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,7,"(41.942681442, -87.651370219)",12:00:00,0,12, Lake View,41.94268144,-87.65137022,Upper Town
HY327192,6/28/2015 23:00,ASSAULT,SIMPLE,STREET,FALSE,FALSE,08A,"(41.679173678, -87.628699756)",11:00:00,0,11, West Pullman,41.67917368,-87.62869976,Lower Town
HY414356,9/7/2015 15:45,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,FALSE,FALSE,7,"(41.764507903, -87.650459883)",3:45:00,0,3, Englewood,41.7645079,-87.65045988,Lower Town
HY412698,9/5/2015 22:00,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,6,"(41.920543756, -87.648592978)",10:00:00,0,10, Lincoln Park,41.92054376,-87.64859298,Upper Town
HY414331,9/7/2015 18:00,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,08B,"(41.721325872, -87.620580034)",6:00:00,0,6, Roseland,41.72132587,-87.62058003,East Side
HY414464,8/25/2015 13:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,26,"(41.729636564, -87.651943029)",1:00:00,0,1, Washington Heights,41.72963656,-87.65194303,Middle City
HY414413,9/7/2015 19:39,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE,TRUE,14,"(41.767740849, -87.660253272)",7:39:00,0,7, West Englewood,41.76774085,-87.66025327,Lower Town
HY413994,9/6/2015 8:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,14,"(41.751190914, -87.563798299)",8:00:00,0,8, South Chicago,41.75119091,-87.5637983,East Side
HY414336,9/7/2015 9:00,ASSAULT,SIMPLE,RESIDENCE,TRUE,TRUE,08A,"(41.756608166, -87.571210253)",9:00:00,0,9, South Shore,41.75660817,-87.57121025,Lower Town
HY414319,9/7/2015 17:00,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,08A,"(41.717222401, -87.536494649)",5:00:00,0,5, East Side,41.7172224,-87.53649465,East Side
HY414345,9/7/2015 18:30,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,3,"(41.753402254, -87.577771613)",6:30:00,0,6, South Shore,41.75340225,-87.57777161,Lower Town
HY414381,9/7/2015 1:00,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,04A,"(41.7148226, -87.569444242)",1:00:00,0,1, South Deering,41.7148226,-87.56944424,East Side
HY414397,9/6/2015 21:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.72993855, -87.561681705)",9:00:00,0,9, Calumet Heights,41.72993855,-87.56168171,East Side
HY414010,9/6/2015 14:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,26,"(41.785122047, -87.60603224)",2:00:00,0,2, Woodlawn,41.78512205,-87.60603224,Middle City
HY414396,9/7/2015 19:20,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,14,"(41.748083554, -87.566961269)",7:20:00,0,7, South Chicago,41.74808355,-87.56696127,East Side
HY414481,9/7/2015 14:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.893763001, -87.765353356)",2:00:00,0,2, Austin,41.893763,-87.76535336,West Side
HY414474,9/7/2015 20:30,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,26,"(41.898475258, -87.641824107)",8:30:00,0,8, River North,41.89847526,-87.64182411,Upper Town
HY414453,9/7/2015 19:45,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.747688381, -87.662155785)",7:45:00,0,7, Auburn Gresham,41.74768838,-87.66215579,Lower Town
HY414409,9/7/2015 15:10,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,APARTMENT,TRUE,FALSE,18,"(41.744274934, -87.645071545)",3:10:00,0,3, Auburn Gresham,41.74427493,-87.64507155,Lower Town
HY414262,9/7/2015 15:04,ROBBERY,ARMED: HANDGUN,APARTMENT,FALSE,FALSE,3,"(41.744274934, -87.645071545)",3:04:00,0,3, Auburn Gresham,41.74427493,-87.64507155,Lower Town
HY414422,9/7/2015 18:15,ASSAULT,SIMPLE,APARTMENT,TRUE,TRUE,08A,"(41.657533656, -87.613500284)",6:15:00,0,6, Concordia Place Apartments,41.65753366,-87.61350028,Upper Town
HY414077,9/7/2015 12:50,ROBBERY,STRONGARM - NO WEAPON,VEHICLE NON-COMMERCIAL,FALSE,FALSE,3,"(41.736795974, -87.650933059)",12:50:00,0,12, Auburn Gresham,41.73679597,-87.65093306,Lower Town
HY414389,9/7/2015 18:52,ASSAULT,SIMPLE,SIDEWALK,TRUE,TRUE,08A,"(41.891851373, -87.710521159)",6:52:00,0,6, Humboldt Park,41.89185137,-87.71052116,West Side
HY414316,9/7/2015 18:10,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,CTA BUS,FALSE,FALSE,04B,"(41.750940757, -87.625185222)",6:10:00,0,6, Chatham,41.75094076,-87.62518522,Middle City
HY414475,9/7/2015 15:00,THEFT,OVER $500,BAR OR TAVERN,FALSE,FALSE,6,"(41.933257487, -87.659684552)",3:00:00,0,3, Lake View,41.93325749,-87.65968455,Upper Town
HY414068,9/7/2015 0:01,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,TRUE,6,"(41.977017622, -87.692447486)",12:01:00,0,12, Lincoln Square,41.97701762,-87.69244749,Upper Town
HY256031,5/3/2015 17:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,7,"(41.963175316, -87.73295816)",5:00:00,0,5, Irving Park,41.96317532,-87.73295816,Upper Town
HY414489,9/7/2015 11:23,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.72599933, -87.550156509)",11:23:00,0,11, Calumet Heights,41.72599933,-87.55015651,East Side
HY414430,9/7/2015 18:45,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.901572644, -87.737109732)",6:45:00,0,6, Humboldt Park,41.90157264,-87.73710973,West Side
HY414176,8/27/2015 0:01,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,11,"(41.954431563, -87.738095223)",12:01:00,0,12, Irving Park,41.95443156,-87.73809522,Upper Town
HY414490,9/7/2015 19:25,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.799181296, -87.645280178)",7:25:00,0,7, New City,41.7991813,-87.64528018,Middle City
HY414471,9/7/2015 19:32,PUBLIC PEACE VIOLATION,MOB ACTION,STREET,TRUE,FALSE,24,"(41.861972438, -87.71773114)",7:32:00,0,7, North Lawndale,41.86197244,-87.71773114,West Side
HY414492,9/7/2015 20:20,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,7,"(41.706875037, -87.628265515)",8:20:00,0,8, Roseland,41.70687504,-87.62826552,East Side
HY414510,9/7/2015 21:22,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,08A,"(41.786189751, -87.655883938)",9:22:00,0,9, West Englewood,41.78618975,-87.65588394,Lower Town
HY414478,9/7/2015 20:20,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,18,"(41.853203765, -87.724796627)",8:20:00,0,8, North Lawndale,41.85320377,-87.72479663,West Side
HY414466,9/7/2015 19:55,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,08B,"(41.960086551, -87.706989323)",7:55:00,0,7, Irving Park,41.96008655,-87.70698932,Upper Town
HY414486,9/7/2015 9:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,5,"(41.807910632, -87.720354401)",9:00:00,0,9, Archer Heights,41.80791063,-87.7203544,Lower Town
HY414373,9/7/2015 17:10,BURGLARY,FORCIBLE ENTRY,OTHER RAILROAD PROP / TRAIN DEPOT,TRUE,FALSE,5,"(41.808481274, -87.678067928)",5:10:00,0,5, New City,41.80848127,-87.67806793,Middle City
HY414499,9/7/2015 19:45,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,08B,"(41.76303641, -87.628109185)",7:45:00,0,7, Greater Grand Crossing,41.76303641,-87.62810919,Middle City
HY414367,9/7/2015 17:50,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARK PROPERTY,TRUE,FALSE,04B,"(41.900870422, -87.624184899)",5:50:00,0,5, Near North Side,41.90087042,-87.6241849,Upper Town
HY414518,9/7/2015 21:10,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,08B,"(41.752903449, -87.565042207)",9:10:00,0,9, South Shore,41.75290345,-87.56504221,Lower Town
HY414447,9/7/2015 19:00,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,18,"(41.89213797, -87.754275936)",7:00:00,0,7, Austin,41.89213797,-87.75427594,West Side
HY414514,9/7/2015 16:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,7,"(41.875066021, -87.741362098)",4:30:00,0,4, Austin,41.87506602,-87.7413621,West Side
HY414438,9/7/2015 19:46,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.90357543, -87.755803611)",7:46:00,0,7, Beat 2532,41.90357543,-87.75580361,Upper Town
HY414500,9/7/2015 21:06,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,6,"(41.939848915, -87.658251563)",9:06:00,0,9, Lake View,41.93984892,-87.65825156,Upper Town
